seed,sample,ranking_score
2063740159,0,0.709767355646185
2063740159,1,0.7211559686089817
2063740159,2,0.7171889257708653
2063740159,3,0.7141806670940314
2063740159,4,0.7091727883127863
2063740160,0,0.6907159054207237
2063740160,1,0.7418006836482883
2063740160,2,0.7203374336197965
2063740160,3,0.7111012436047606
2063740160,4,0.6910612562644313
2063740161,0,0.7145642915006318
2063740161,1,0.7084344031880795
2063740161,2,0.7014265208412331
2063740161,3,0.7087442845331989
2063740161,4,0.70507098334184
2063740162,0,0.6937355191305448
2063740162,1,0.6797562921537295
2063740162,2,0.6988994769216543
2063740162,3,0.6997082522073105
2063740162,4,0.6912284277266495
2063740163,0,0.7695210611578859
2063740163,1,0.7222995711762266
2063740163,2,0.7209208075351385
2063740163,3,0.7404895261558881
2063740163,4,0.7206943064034229
