seed,sample,ranking_score
2063740159,0,0.8320996438004965
2063740159,1,0.8752021494245945
2063740159,2,0.8297464322862367
2063740159,3,0.826241661198842
2063740159,4,0.8651595369804752
2063740160,0,0.8363402945423033
2063740160,1,0.8288704822896635
2063740160,2,0.8289877143811303
2063740160,3,0.8708388419377645
2063740160,4,0.8634276418794385
2063740161,0,0.8274335823794325
2063740161,1,0.8269867068025125
2063740161,2,0.8300191698613824
2063740161,3,0.8187493961414113
2063740161,4,0.8291222914255127
2063740162,0,0.8165873071601951
2063740162,1,0.8164281562584126
2063740162,2,0.8238730895433664
2063740162,3,0.827183311577126
2063740162,4,0.8640781507173789
2063740163,0,0.8263577751758584
2063740163,1,0.8449650850851594
2063740163,2,0.849547401944615
2063740163,3,0.8281429863969964
2063740163,4,0.8452885895669205
