seed,sample,ranking_score
1536018325,0,0.8036776325531905
1536018325,1,0.7899869480289052
1536018325,2,0.8044017300163401
1536018325,3,0.8149793027821439
1536018325,4,0.8141876727820532
1536018326,0,0.8162298856034051
1536018326,1,0.8060228615657826
1536018326,2,0.7981660290477831
1536018326,3,0.8039340242616997
1536018326,4,0.8201547860563083
1536018327,0,0.807079505827968
1536018327,1,0.811701400429581
1536018327,2,0.8018195112650329
1536018327,3,0.7791882108270273
1536018327,4,0.8202037983798991
1536018328,0,0.7997590950255048
1536018328,1,0.795141035985086
1536018328,2,0.7841048041516012
1536018328,3,0.798508080943947
1536018328,4,0.8091183926821178
1536018329,0,0.8021547396478242
1536018329,1,0.8087041615127418
1536018329,2,0.8173972251578314
1536018329,3,0.8178538640076655
1536018329,4,0.7912771148468157
